"Alice","alicebeans@yahoo.com","5478134259","JFK","SFO","7","2015-11-20",5,1000
"Bob","bobthebuilder@hotmail.com","7384568152","JFK","LAS","3","2015-11-16",3,500
"Cat","catzhangy1@gmail.com","6264517803","FLL","LAS","3","2015-11-14",0,650
"Dan","dantheman@aol.com","4217269435","LGB","LAS","7","2015-11-10",2,500
"Emily","jbieberrulez@xanga.com","9094521365","FLL","SJU","3","2015-11-23",4,500
"Fred","fredmonster@facebook.com","5127845602","SFO","BDA","5","2015-11-15",3,1600
"Grace","amazingrace@gmail.com","9426032145","MCO","PLS","4","2015-11-15",5,2000
"Helen","helenthekeller@live.com","4526698421","BOS","MSY","3","2015-11-23",1,750
"Kai","kai.si@berkeley.edu","6260124457","JFK","CUN","7","2015-11-20",2,600
"Jackson","jackson.chang@berkeley.edu","6266969758","JFK","SDQ","5","2015-11-15",3,550
